Spatial Coordinate (x),Temperature (T)
0.0,100.0
0.010101010101010102,94.30688207914102
0.020202020202020204,88.64272724523948
0.030303030303030304,83.0360569873929
0.04040404040404041,77.51452080948408
0.05050505050505051,72.10448786580737
0.06060606060606061,66.83067065424622
0.07070707070707072,61.71578967908359
0.08080808080808081,56.78028657893604
0.09090909090909091,52.04209156750398
0.10101010101010102,47.51644922773034
0.11111111111111112,43.215804810638254
0.12121212121212122,39.14975129683573
0.13131313131313133,35.32503565692786
0.14141414141414144,31.74562106595717
0.15151515151515152,28.412800346059772
0.16161616161616163,25.32535467833568
0.17171717171717174,22.479750673354797
0.18181818181818182,19.87036823909388
0.19191919191919193,17.489751340219275
0.20202020202020204,15.328873694526608
0.21212121212121213,13.377411679752923
0.22222222222222224,11.624017195330259
0.23232323232323235,10.056583899509677
0.24242424242424243,8.66250107794295
0.25252525252525254,7.428890347961381
0.26262626262626265,6.342821416093169
0.27272727272727276,5.391504139737921
0.2828282828282829,4.562455156518251
0.29292929292929293,3.843638301550183
0.30303030303030304,3.2235789054148616
0.31313131313131315,2.691452833051092
0.32323232323232326,2.2371517727012793
0.33333333333333337,1.851326808229828
0.3434343434343435,1.5254127079817215
0.3535353535353536,1.2516356449473123
0.36363636363636365,1.0230072370552414
0.37373737373737376,0.833307877073868
0.38383838383838387,0.6770623252271115
0.393939393939394,0.5495104816198945
0.4040404040404041,0.4465761572417635
0.4141414141414142,0.36483653792687154
0.42424242424242425,0.30149489952570724
0.43434343434343436,0.2543589963994326
0.4444444444444445,0.22182741772657244
0.4545454545454546,0.20288609200140947
0.4646464646464647,0.19711702068721315
0.4747474747474748,0.20472123453867133
0.48484848484848486,0.22655788401913426
0.494949494949495,0.26420128818591
0.5050505050505051,0.32001766066573517
0.5151515151515152,0.3972630902000233
0.5252525252525253,0.5002041576719286
0.5353535353535354,0.6342623009537717
0.5454545454545455,0.8061826721896255
0.5555555555555556,1.024227748727453
0.5656565656565657,1.2983953403059214
0.5757575757575758,1.640659866299185
0.5858585858585859,2.065234848089781
0.595959595959596,2.5888534702626127
0.6060606060606061,3.2310628163885062
0.6161616161616162,4.014525997279857
0.6262626262626263,4.965324890274974
0.6363636363636365,6.113254638866099
0.6464646464646465,7.492099477886269
0.6565656565656566,9.13987791893857
0.6666666666666667,11.099043934581617
0.6767676767676768,13.416629609178326
0.686868686868687,16.144313877891133
0.696969696969697,19.338401555066117
0.7070707070707072,23.059696959542684
0.7171717171717172,27.37325717007232
0.7272727272727273,32.34801136779879
0.7373737373737375,38.05623490253179
0.7474747474747475,44.57286968558811
0.7575757575757577,51.97468626066545
0.7676767676767677,60.339287392875484
0.7777777777777778,69.74395815927265
0.787878787878788,80.26437319214207
0.797979797979798,91.97317774543718
0.8080808080808082,104.93846541132554
0.8181818181818182,119.22218136008095
0.8282828282828284,134.87848563993882
0.8383838383838385,151.9521160681881
0.8484848484848485,170.4767942854648
0.8585858585858587,190.47372136256072
0.8686868686868687,211.95021070552758
0.8787878787878789,234.8985057103923
0.888888888888889,259.2948275452609
0.8989898989898991,285.09869453074873
0.9090909090909092,312.25254887800236
0.9191919191919192,340.6817191428607
0.9292929292929294,370.29473786798286
0.9393939393939394,400.98402379726554
0.9494949494949496,432.62692711583134
0.9595959595959597,465.08712480879007
0.9696969696969697,498.2163418957851
0.9797979797979799,531.8563634555471
0.98989898989899,565.8412924677706
1.0,600.0
