# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 6.577032059431076050e-02 2.119667530059814453e-01 1.005524754524230957e+00 6.028247252106666565e-02 2.119667530059814453e-01 1.005524754524230957e+00
1.000000000000000000e+03 2.728812163695693016e-03 1.904563046991825104e-03 6.620541680604219437e-04 1.674235449172556400e-03 1.904563046991825104e-03 6.620541680604219437e-04
2.000000000000000000e+03 7.262041326612234116e-04 5.917675443924963474e-04 1.029778068186715245e-04 4.143636324442923069e-04 5.917675443924963474e-04 1.029778068186715245e-04
3.000000000000000000e+03 3.759746614377945662e-04 2.154751709895208478e-04 5.619698276859708130e-05 2.295827871421352029e-04 2.154751709895208478e-04 5.619698276859708130e-05
4.000000000000000000e+03 2.225140488008037210e-04 6.087439760449342430e-05 2.976225005113519728e-05 1.483681553509086370e-04 6.087439760449342430e-05 2.976225005113519728e-05
5.000000000000000000e+03 1.321633899351581931e-04 1.980805973289534450e-05 1.775678538251668215e-05 9.318601223640143871e-05 1.980805973289534450e-05 1.775678538251668215e-05
6.000000000000000000e+03 8.366113615920767188e-05 1.383814651489956304e-05 1.156519738287897781e-05 6.247148849070072174e-05 1.383814651489956304e-05 1.156519738287897781e-05
7.000000000000000000e+03 5.633431283058598638e-05 1.231254736921982840e-05 8.511650776199530810e-06 4.415054354467429221e-05 1.231254736921982840e-05 8.511650776199530810e-06
8.000000000000000000e+03 2.223849151050671935e-04 5.146738840267062187e-05 1.133994101110147312e-05 1.859132753452286124e-04 5.146738840267062187e-05 1.133994101110147312e-05
9.000000000000000000e+03 3.062030373257584870e-05 1.005191279546124861e-05 4.834544142795493826e-06 2.446471808070782572e-05 1.005191279546124861e-05 4.834544142795493826e-06
1.000000000000000000e+04 3.477181599009782076e-05 8.549348422093316913e-06 5.313466772349784151e-06 2.456048241583630443e-05 8.549348422093316913e-06 5.313466772349784151e-06
1.100000000000000000e+04 2.039636092376895249e-05 8.126301509037148207e-06 2.858796506188809872e-06 1.591304862813558429e-05 8.126301509037148207e-06 2.858796506188809872e-06
1.200000000000000000e+04 1.750312731019221246e-05 7.329163963731843978e-06 2.326087951587396674e-06 1.367424010823015124e-05 7.329163963731843978e-06 2.326087951587396674e-06
1.300000000000000000e+04 1.553414404042996466e-05 6.639506409555906430e-06 3.088922767346957698e-06 1.204871477966662496e-05 6.639506409555906430e-06 3.088922767346957698e-06
1.400000000000000000e+04 2.455026879033539444e-05 1.073534531315090135e-05 1.659369263506960124e-05 2.001023858611006290e-05 1.073534531315090135e-05 1.659369263506960124e-05
1.500000000000000000e+04 1.235490890394430608e-05 5.087346380605595186e-06 1.420285684616828803e-06 9.544859494781121612e-06 5.087346380605595186e-06 1.420285684616828803e-06
1.600000000000000000e+04 1.588654122315347195e-04 4.109800647711381316e-05 7.094130069162929431e-06 1.262320147361606359e-04 4.109800647711381316e-05 7.094130069162929431e-06
1.700000000000000000e+04 1.058810812537558377e-05 4.214666205371031538e-06 1.884833523035922553e-06 8.206512575270608068e-06 4.214666205371031538e-06 1.884833523035922553e-06
1.800000000000000000e+04 1.020061972667463124e-05 4.984159204468596727e-06 4.214096861687721685e-06 8.050391443248372525e-06 4.984159204468596727e-06 4.214096861687721685e-06
1.900000000000000000e+04 9.314624549006111920e-06 3.386949629202717915e-06 8.581049542044638656e-07 7.303650818357709795e-06 3.386949629202717915e-06 8.581049542044638656e-07
2.000000000000000000e+04 9.018811397254467010e-06 3.158921117574209347e-06 7.228960612337687053e-07 7.183134130173129961e-06 3.158921117574209347e-06 7.228960612337687053e-07
2.000000000000000000e+04 9.018811397254467010e-06 3.158921117574209347e-06 7.228960612337687053e-07 7.183134130173129961e-06 3.158921117574209347e-06 7.228960612337687053e-07
2.002000000000000000e+04 8.859856279741507024e-06 3.112015065198647790e-06 7.158993753364484292e-07 6.969723926886217669e-06 3.112015065198647790e-06 7.158993753364484292e-07
