rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Lowest_Niyama
2760.0,3090.0,98.88,113.3,927.0,996.01,313.0,389000.0,880.0,13.0,13.0,0.7315261694652813
2842.8,3090.0,98.88,113.3,927.0,996.01,313.0,389000.0,1408.0,10.0,11.0,0.0009981454179391678
2760.0,3000.0,96.0,110.0,954.8100000000001,996.01,313.0,389000.0,1408.0,10.0,11.0,0.0015812234675848338
2842.8,3000.0,96.0,110.0,954.8100000000001,996.01,313.0,389000.0,880.0,13.0,13.0,1.058684733393324
2760.0,3090.0,96.0,110.0,954.8100000000001,996.01,313.0,389000.0,880.0,13.0,13.0,0.7322742364318211
2842.8,3090.0,96.0,110.0,954.8100000000001,996.01,313.0,389000.0,1408.0,10.0,11.0,0.0016206563623960507
2760.0,3000.0,98.88,110.0,954.8100000000001,996.01,313.0,389000.0,880.0,13.0,11.0,0.37636728997094393
2842.8,3000.0,98.88,110.0,954.8100000000001,996.01,313.0,389000.0,1408.0,10.0,13.0,2.8597061290504113e-05
2760.0,3090.0,98.88,110.0,954.8100000000001,996.01,313.0,389000.0,1408.0,10.0,13.0,0.0023251655028141346
2842.8,3090.0,98.88,110.0,954.8100000000001,996.01,313.0,389000.0,880.0,13.0,11.0,0.38575321932252105
2760.0,3000.0,96.0,113.3,954.8100000000001,996.01,313.0,389000.0,880.0,10.0,13.0,0.0016985610850800247
2842.8,3000.0,96.0,113.3,954.8100000000001,996.01,313.0,389000.0,1408.0,13.0,11.0,0.5149103417448325
2760.0,3090.0,96.0,113.3,954.8100000000001,996.01,313.0,389000.0,1408.0,13.0,11.0,0.2892989082069509
2842.8,3090.0,96.0,113.3,954.8100000000001,996.01,313.0,389000.0,880.0,10.0,13.0,0.0017409201709217568
2760.0,3000.0,98.88,113.3,954.8100000000001,996.01,313.0,389000.0,1408.0,13.0,13.0,0.8041643553485687
2842.8,3000.0,98.88,113.3,954.8100000000001,996.01,313.0,389000.0,880.0,10.0,11.0,0.0008660046152506241
2760.0,3090.0,98.88,113.3,954.8100000000001,996.01,313.0,389000.0,880.0,10.0,11.0,0.0006946387697557533
2842.8,3090.0,98.88,113.3,954.8100000000001,996.01,313.0,389000.0,1408.0,13.0,13.0,0.8242187809787582
2760.0,3000.0,96.0,110.0,927.0,967.0,626.0,389000.0,1408.0,13.0,13.0,0.662606064396907
2842.8,3000.0,96.0,110.0,927.0,967.0,626.0,389000.0,880.0,10.0,11.0,0.00026105366994323383
2760.0,3090.0,96.0,110.0,927.0,967.0,626.0,389000.0,880.0,10.0,11.0,0.00028120482713650486
2842.8,3090.0,96.0,110.0,927.0,967.0,626.0,389000.0,1408.0,13.0,13.0,0.6791302785730009
2760.0,3000.0,98.88,110.0,927.0,967.0,626.0,389000.0,880.0,10.0,13.0,0.0010478434547097969
2842.8,3000.0,98.88,110.0,927.0,967.0,626.0,389000.0,1408.0,13.0,11.0,0.0018964368952914242
2760.0,3090.0,98.88,110.0,927.0,967.0,626.0,389000.0,1408.0,13.0,11.0,0.0018175228427456766
2842.8,3090.0,98.88,110.0,927.0,967.0,626.0,389000.0,880.0,10.0,13.0,0.0010739748177887524
2760.0,3000.0,96.0,113.3,927.0,967.0,626.0,389000.0,880.0,13.0,11.0,0.000981821590256817
2842.8,3000.0,96.0,113.3,927.0,967.0,626.0,389000.0,1408.0,10.0,13.0,0.0024120042738281795
2760.0,3090.0,96.0,113.3,927.0,967.0,626.0,389000.0,1408.0,10.0,13.0,0.0006728095483549769
2842.8,3090.0,96.0,113.3,927.0,967.0,626.0,389000.0,880.0,13.0,11.0,0.0010063064706583925
2760.0,3000.0,98.88,113.3,927.0,967.0,626.0,389000.0,1408.0,10.0,11.0,9.289002977964624e-06
2842.8,3000.0,98.88,113.3,927.0,967.0,626.0,389000.0,880.0,13.0,13.0,0.8104627886290617
2760.0,3090.0,98.88,113.3,927.0,967.0,626.0,389000.0,880.0,13.0,13.0,0.5742709242099614
2842.8,3090.0,98.88,113.3,927.0,967.0,626.0,389000.0,1408.0,10.0,11.0,9.520654154942561e-06
2760.0,3000.0,96.0,110.0,954.8100000000001,967.0,626.0,389000.0,1408.0,10.0,11.0,0.0013411349070001034
