rho_l,rho_s,k_l,k_s,cp_l,cp_s,Surr_temp,L_fusion,temp_init,heat_transfer_coefficient_left,heat_transfer_coefficient_right,Length,Lowest_Niyama,center_pt
2533.8,2628.7,107.2,99.08,1207.94,934.11,298.0,400670.0,901.0,15.0,10.0,0.02,0.01,0
2386.2,2791.3,107.2,99.08,1207.94,934.11,298.0,377330.0,901.0,10.0,10.0,0.02,4.17,0
2533.8,2791.3,107.2,99.08,1207.94,934.11,298.0,400670.0,925.0,10.0,15.0,0.02,0.0,0
2386.2,2628.7,100.88,93.31,1282.65,934.11,298.0,377330.0,925.0,10.0,15.0,0.01,0.25,0
2533.8,2628.7,100.88,93.31,1282.65,934.11,298.0,400670.0,901.0,10.0,10.0,0.01,5.05,0
2386.2,2791.3,100.88,93.31,1282.65,934.11,298.0,377330.0,901.0,15.0,10.0,0.01,0.04,0
2533.8,2791.3,100.88,93.31,1282.65,934.11,298.0,400670.0,925.0,15.0,15.0,0.01,3.51,0
2386.2,2628.7,107.2,93.31,1282.65,934.11,298.0,400670.0,901.0,15.0,15.0,0.02,6.18,0
2533.8,2628.7,107.2,93.31,1282.65,934.11,298.0,377330.0,925.0,15.0,10.0,0.02,0.0,0
2386.2,2791.3,107.2,93.31,1282.65,934.11,298.0,400670.0,925.0,10.0,10.0,0.02,4.55,0
2533.8,2791.3,107.2,93.31,1282.65,934.11,298.0,377330.0,901.0,10.0,15.0,0.02,0.08,0
2386.2,2628.7,100.88,99.08,1282.65,934.11,298.0,400670.0,901.0,10.0,10.0,0.02,5.43,0
2533.8,2628.7,100.88,99.08,1282.65,934.11,298.0,377330.0,925.0,10.0,15.0,0.02,0.01,0
2386.2,2791.3,100.88,99.08,1282.65,934.11,298.0,400670.0,925.0,15.0,15.0,0.02,4.82,0
2533.8,2791.3,100.88,99.08,1282.65,934.11,298.0,377330.0,901.0,15.0,10.0,0.02,0.0,0
2386.2,2628.7,107.2,99.08,1282.65,934.11,298.0,377330.0,925.0,15.0,10.0,0.01,0.25,0
2533.8,2628.7,107.2,99.08,1282.65,934.11,298.0,400670.0,901.0,15.0,15.0,0.01,5.26,0
2386.2,2791.3,107.2,99.08,1282.65,934.11,298.0,377330.0,901.0,10.0,15.0,0.01,0.03,0
2533.8,2791.3,107.2,99.08,1282.65,934.11,298.0,400670.0,925.0,10.0,10.0,0.01,3.05,0
2386.2,2628.7,100.88,93.31,1207.94,991.89,298.0,377330.0,925.0,15.0,15.0,0.01,3.21,0
2533.8,2628.7,100.88,93.31,1207.94,991.89,298.0,400670.0,901.0,15.0,10.0,0.01,0.67,0
2386.2,2791.3,100.88,93.31,1207.94,991.89,298.0,377330.0,901.0,10.0,10.0,0.01,2.38,0
2533.8,2791.3,100.88,93.31,1207.94,991.89,298.0,400670.0,925.0,10.0,15.0,0.01,0.18,0
2386.2,2628.7,107.2,93.31,1207.94,991.89,298.0,400670.0,901.0,10.0,15.0,0.02,0.36,0
2533.8,2628.7,107.2,93.31,1207.94,991.89,298.0,377330.0,925.0,10.0,10.0,0.02,8.98,0
2386.2,2791.3,107.2,93.31,1207.94,991.89,298.0,400670.0,925.0,15.0,10.0,0.02,0.73,0
2533.8,2791.3,107.2,93.31,1207.94,991.89,298.0,377330.0,901.0,15.0,15.0,0.02,6.25,0
2386.2,2628.7,100.88,99.08,1207.94,991.89,298.0,400670.0,901.0,15.0,10.0,0.02,0.0,0
2533.8,2628.7,100.88,99.08,1207.94,991.89,298.0,377330.0,925.0,15.0,15.0,0.02,9.51,0
2386.2,2791.3,100.88,99.08,1207.94,991.89,298.0,400670.0,925.0,10.0,15.0,0.02,0.01,0
2533.8,2791.3,100.88,99.08,1207.94,991.89,298.0,377330.0,901.0,10.0,10.0,0.02,5.49,0
2386.2,2628.7,107.2,99.08,1207.94,991.89,298.0,377330.0,925.0,10.0,10.0,0.01,2.8,0
2533.8,2628.7,107.2,99.08,1207.94,991.89,298.0,400670.0,901.0,10.0,15.0,0.01,0.61,0
